Country,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Hungary,HU10,9.7,5.7,1.7,8,2,1.5,5.6,8.3,1.5
Hungary,HU21,8.6,5.1,1.3,9.1,0.6,2.3,4.7,7.4,1.2
Hungary,HU22,9,5.8,1.3,9.6,0.8,2.1,5,7.3,1.4
Hungary,HU23,8.8,3.5,1.1,8,0.5,2.9,4.1,6.2,1.6
Hungary,HU31,8.6,1.6,0.9,7.9,0,2.1,4.4,6,1.1
Hungary,HU32,8.4,2.2,0.9,8.6,0.4,1.4,4.4,5.8,0.9
Hungary,HU33,8.9,4,1,8.6,0.5,2.3,4.3,6.1,1.4
Iceland,IS01,7.2,8.8,3.9,9.6,8.5,10,5.5,10,NA
Iceland,IS02,5,9.4,3.1,10,8.3,10,6,10,NA
Ireland,IE01,7.4,3,4.3,8.7,7.4,9,6.1,5.8,7.1
Ireland,IE02,8.1,4.1,5,7.9,7.2,8.6,5.9,7.4,6.5
Israel,IL01,8.8,5.1,0.6,10,9.1,0.3,5.1,5.5,0
Israel,IL02,8.4,5.3,0.5,7.6,7.2,0,4.1,6.4,0.4
Israel,IL03,9.3,7.4,1.6,7.6,8,0,3.8,6.6,1.5
Israel,IL04,9.6,8.7,2.1,7.7,9.3,0.5,5.6,8.6,1.6
Israel,IL05,9.5,8.8,2.7,7.8,9.1,0,4.8,8.9,2
Israel,IL06,9.2,6.4,0.9,6.9,7.1,0,3.6,7.3,1.1
Italy,ITC1,5.3,6,5.1,9.7,8.8,0.6,7.5,5.5,2.7
Italy,ITC2,4.4,7.1,5.8,9.7,9,1.8,7.4,5.8,3.4
Italy,ITC3,6,6.2,5,9.4,8.9,4.3,7,5.5,3.4
Italy,ITC4,5.6,6.9,5.5,10,9.4,0,8,6.5,2.6
Italy,ITF1,6.4,4.6,3.4,9.5,9.1,5.9,7.2,5.6,2.6
Italy,ITF2,5.1,2.8,3.3,10,9.1,5.4,7.6,4.4,3.1
