Country,Region,Code,Education,Jobs,Income,Safety,Health,Environment,Civic_Engagement,Accessiblity_to_Services,Housing
Hungary,Western Transdanubia,HU22,9.0,5.8,1.3,9.6,0.8,2.1,5.0,7.3,1.4
Hungary,Southern Transdanubia,HU23,8.8,3.5,1.1,8.0,0.5,2.9,4.1,6.2,1.6
Hungary,Northern Hungary,HU31,8.6,1.6,0.9,7.9,0.0,2.1,4.4,6.0,1.1
Hungary,Northern Great Plain,HU32,8.4,2.2,0.9,8.6,0.4,1.4,4.4,5.8,0.9
Hungary,Southern Great Plain,HU33,8.9,4.0,1.0,8.6,0.5,2.3,4.3,6.1,1.4
Iceland,Capital Region,IS01,7.2,8.8,3.9,9.6,8.5,10.0,5.5,10.0,..
Iceland,Other Regions,IS02,5.0,9.4,3.1,10.0,8.3,10.0,6.0,10.0,..
Ireland,"Border, Midland and Western",IE01,7.4,3.0,4.3,8.7,7.4,9.0,6.1,5.8,7.1
Ireland,Southern and Eastern,IE02,8.1,4.1,5.0,7.9,7.2,8.6,5.9,7.4,6.5
Israel,Jerusalem District,IL01,8.8,5.1,0.6,10.0,9.1,0.3,5.1,5.5,0.0
Israel,Northern District,IL02,8.4,5.3,0.5,7.6,7.2,0.0,4.1,6.4,0.4
Israel,Haifa District,IL03,9.3,7.4,1.6,7.6,8.0,0.0,3.8,6.6,1.5
Israel,Central District,IL04,9.6,8.7,2.1,7.7,9.3,0.5,5.6,8.6,1.6
Israel,Tel Aviv District,IL05,9.5,8.8,2.7,7.8,9.1,0.0,4.8,8.9,2.0
Israel,Southern District,IL06,9.2,6.4,0.9,6.9,7.1,0.0,3.6,7.3,1.1
Italy,Piedmont,ITC1,5.3,6.0,5.1,9.7,8.8,0.6,7.5,5.5,2.7
Italy,Aosta Valley,ITC2,4.4,7.1,5.8,9.7,9.0,1.8,7.4,5.8,3.4
Italy,Liguria,ITC3,6.0,6.2,5.0,9.4,8.9,4.3,7.0,5.5,3.4
Italy,Lombardy,ITC4,5.6,6.9,5.5,10.0,9.4,0.0,8.0,6.5,2.6
Italy,Abruzzo,ITF1,6.4,4.6,3.4,9.5,9.1,5.9,7.2,5.6,2.6
Italy,Molise,ITF2,5.1,2.8,3.3,10.0,9.1,5.4,7.6,4.4,3.1
Italy,Campania,ITF3,4.7,0.3,2.5,9.0,7.1,3.8,5.6,4.4,1.0
Italy,Apulia,ITF4,4.2,1.0,2.8,8.7,9.2,5.2,5.9,4.3,2.2
Italy,Basilicata,ITF5,5.3,1.9,2.9,9.7,9.2,6.1,5.9,4.6,3.0
Italy,Calabria,ITF6,5.1,0.5,2.6,6.2,8.7,5.2,4.5,4.4,2.4
